,Breed,Country,Origin,Body type,Coat,Pattern,Images
0,Abyssinian,Ethiopia,Natural,Oriental,Short,Ticked,
1,Aegean,Greece,Natural,,Semi-long,Bicolored or tricolored,
2,American Curl,United States,Mutation,,Short/long,All,
3,American Bobtail,United States,Mutation,,Short/long,All,
4,American Shorthair,United States,Natural,,Short,All but colorpoint,
5,American Wirehair,United States,Mutation,,Rex,All but colorpoint,
6,Aphrodite Giant,Cyprus,Natural,Lean and muscular,All,All but cinammon and chocolate,
7,Arabian Mau,Arabian Peninsula,Natural,,Short,,
8,Australian Mist,Australia,Crossbreed: Abyssinian and Burmese,Moderate,Short,Spotted or tabby,
9,Asian,Developed in the United Kingdom (foundation stock from Asia),,,Short,Evenly solid,
10,Asian Semi-longhair,United Kingdom,Crossbreed: Burmese and long-haired cats,,Semi-long,Evenly solid,
11,Balinese,Developed in the United States (foundation stock from Thailand),,Oriental,Long,Colorpoint,
12,Bambino,United States,Crossbreed: Munchkin and Sphynx,Dwarf,Hairless or downy,,
13,Bengal,Developed in the United States (foundation stock from Asia),Hybrid: Abyssinian and Egyptian Mau × leopard cat (Prionailurus bengalensis),,Short,"Spotted, marbled, or rosetted",
14,Birman,"Developed in France (foundation stock from Burma, etc.)",Crossbreed: original Birman (near extinction) with Persian and Siamese,,Semi-long,Colorpoint with white feet,
15,Bombay,Developed in the United States (some foundation stock from Burma and Thailand),Crossbreed: American Shorthair and Burmese,Moderate,Short,Solid black,
16,Brazilian Shorthair,Brazil,Natural,,Short,All,
17,British Semi-longhair,United Kingdom,,Cobby,Medium,All,
18,British Shorthair,United Kingdom,Natural,Cobby,Short,All,
19,British Longhair,United Kingdom,,Cobby,Long,All,
20,Burmese,Burma,Natural,,Short,Solid,
21,Burmilla,United Kingdom,Crossbreed: Burmese and Chinchilla Persian,,Short/long,"Solid, in Shaded Silver and Silver Tipped patterns",
22,California Spangled,United States,"Crossbreed: Abyssinian, American Shorthair and British Shorthair",,Short,Spotted,
23,Chantilly-Tiffany,United States,,,,"Solid, ticked, spotted and blotched tabby",
24,Chartreux,France,Natural,Cobby,Short,Solid blue,
25,Chausie,France,Hybrid: Abyssinian× jungle cat (Felis chaus),,Short,Ticked,
26,"Colorpoint Shorthair(for Colorpoint Longhair, see Javanese below)",,,,Short,Colorpoint,
27,Cornish Rex,United Kingdom (England),Mutation,,Rex,All,
28,Cymric orManx Longhair;Longhaired Manx[a],"United Kingdom (Isle of Man), and Canada","Mutation, from original Manx",,Long,All but colorpoint,
29,Cyprus,Cyprus,Natural,Lean and muscular,All,All but colorpoint and mink,
30,Devon Rex,United Kingdom (England),Mutation,Oriental,Rex,All,
31,Donskoy orDon Sphynx,Russia,,,Hairless,,
32,Dragon Li orChinese Li Hua,China,Natural,,Short,Striped tabby,
33,Dwelf,,"Crossbreed: American Curl, Munchkin and Sphinx",Dwarf,Hairless,,
34,Egyptian Mau,Egypt,Natural,,Short,Spotted,
35,European Shorthair,Finland and Sweden,Natural,,Short,"All but chocolate, lilac, cinnamon, fawn, amber, ticked, or colorpoint",
36,Exotic Shorthair,United States,Crossbreed: American Shorthair and Persian,Cobby,Short,All,
37,Foldex[5],Canada,Crossbreed: Exotic Shorthair and Scottish Fold,Cobby,Short,All,
38,German Rex,East Germany,Mutation,,Rex,All,
39,Havana Brown,United Kingdom,Crossbreed: Siamese and black short-haired cats,,Short,Solid brown,
40,Highlander,United States,Crossbreed/hybrid: Desert Lynx and Jungle Curl,Moderate,Short/long,All,
41,Himalayan orColorpoint Persian[b],United States and United Kingdom,Crossbreed: Persian and Siamese,Cobby,Long,Colorpoint,
42,Japanese Bobtail,Japan,"Natural, mutation",Moderate,Short/long,All but colorpoint and ticked,
43,Javanese orColorpoint Longhair[c],Developed in the United States and Canada (foundation stock from Southeast Asia),"Crossbreed: Balinese, with some Colorpoint Shorthair, Oriental Longhair and Siamese",Oriental,Long,Colorpoint,
44,Karelian Bobtail,Western Russia,"Natural, mutation",,,,
45,Khao Manee,Thailand,Natural,,Short,Solid white,
46,Korat,Thailand,Natural,,Short,Solid blue,
47,Korean Bobtail,Korea,"Natural, mutation",,Short/long,Colorprint,
48,Korn Ja,Thailand,Natural,,Short/hairless,Solid,
49,Kurilian Bobtail orKuril Islands Bobtail,Eastern Russia and Japan,"Natural, mutation",Semi-cobby,Short/long,All but colorpoint,
50,LaPerm,United States,Mutation,Moderate,Rex,All,
51,Lykoi,United States,Mutation,,Partly hairless,Ticked,
52,Maine Coon,United States,Natural,Large,Long,All but colorpoint and ticked,
53,Manx,United Kingdom (Isle of Man),"Natural, mutation",,Short/long,All but colorpoint,
54,Mekong Bobtail,Russia,Mutation,,Short,Colorpoint,
55,Minskin,United States,Crossbreed: Munchkin and Sphynx,Dwarf; semi-cobby,Short/hairless,All,
56,Munchkin,United States,Mutation,Dwarf,Short/long,All,
57,Nebelung,United States,,,Semi-long,Solid blue,
58,Napoleon,,,,Short/long,Varied,
59,Norwegian Forest Cat,Norway,Natural,,Long,"Traditional, sepia, or mink",
60,Ocicat,United States,"Crossbreed: Abyssinian, American Shorthair and Siamese",,Short,Spotted,
61,Ojos Azules,United States,,,,All,
62,Oregon Rex,United States,Mutation,,Rex,,
63,Oriental Bicolor,"Developed in the United States and United Kingdom, later in Continental Europe; foundation stock ultimately from Thailand",,Oriental,,Bicolor,
64,Oriental Shorthair[d],Developed in the United States and later the United Kingdom; foundation stock ultimately from Thailand,Crossbreed: European Shorthair and Siamese,Oriental,Short,All but colorpoint,
65,Oriental Longhair[d] orForeign Longhair;Mandarin;British Angora (obsolete),Developed in the United Kingdom and United States; foundation stock ultimately from Thailand,,Oriental,Semi-long,All but colorpoint,
66,Persian (modern),Developed in the United States and Europe (foundation stock from Greater Iran),"Mutation, from the traditional Persian",Cobby,Long,All,
67,Persian (traditional),Greater Iran,"Natural, but some crossing with Turkish Angora",Cobby,Long,All,
68,Peterbald,Russia,"Crossbreed: Donskoy, Oriental Shorthair and Siamese; early: Balinese and Javanese",Oriental,"Hairless/flocked, velour, brush, or straight coat",All,
69,Pixie-bob,United States,Mutation (falsely claimed to be a bobcat hybrid early on),,Short,Spotted,
70,Raas,Indonesia,Natural,,Short,,
71,"Ragamuffin, orLiebling (obsolete)",United States,"Crossbreed: Ragdoll with limited out-crossing to Himalayan, Persian, other long-haired cats",Cobby,Long,All,
72,Ragdoll,United States,"Mutation (behavioral) in a crossbreed, presumed Persian or Turkish Angora and Birman or Burmese",Cobby,Long,"Colorpoint, mitted, or bicolor",
73,Russian Blue,Russia,Natural,,Short,Solid blue,
74,"Russian White, Black, and Tabby",Developed in Australia (foundation stock from Russia),Crossbreeds: Russian Blue and short-haired cats from Siberia (Russia),,Short,"Solid white, solid black and tabby",
75,Sam Sawet,Thailand,Natural,,Short,Solid,
76,Savannah,United States,Hybrid: Domestic cat × serval (Leptailurus serval)[6],Large,Short,Spotted,
77,Scottish Fold,United Kingdom (Scotland),Mutation,Cobby,Short/long,All,
78,Selkirk Rex,United States,"Mutation, crossbreed: American Shorthair, Persian, Himalayan, Exotic Shorthair and British Shorthair",,Rex (Short/long),All,
79,Serengeti,United States,Crossbreed/hybrid: Bengal and Oriental Shorthair,,Short,Spotted,
80,Serrade Petit,France,Natural,,Short,,
81,"Siamese (modern)(for traditional, see Thai below)",Developed in the United States and Europe (foundation stock from Thailand),"Mutation, from traditional Siamese (now known as Thai)",Oriental,Short,Colorpoint,
82,Siberian orSiberian Forest Cat;Neva Masquerade (colorpoint variety),Russia,Natural,Semi-cobby,Semi-long,All,
83,Singapura,United States,Crossbreed: Burmese and Abyssinian,,Short,Ticked,
84,Snowshoe,United States,Crossbreed: American Shorthair and Siamese,,Short,Colorpoint with white feet,
85,Sokoke,Kenya,Natural,,Short,Ticked tabby,
86,Somali,Somalia,Mutation,,Long,Ticked,
87,Sphynx,Canada,Mutation,Oriental,Hairless,All,
88,Suphalak,Thailand,Natural,,Short,Solid,
89,"Thai orTraditional, Classic, or Old-style Siamese;Wichien Maat[e]",Thailand,Natural,Moderate,Short,Colorpoint,
90,Thai Lilac,Thailand,Natural,,Short,Solid lilac,
91,Tonkinese,Canada,Crossbreed: Burmese and Siamese,,Short,"Colorpoint, mink, or solid",
92,Toyger,United States,Crossbreed/hybrid: Bengal and short-haired cats,Moderate,Short,Striped,
93,Turkish Angora,Turkey,Natural,,Semi-long,All but colorpoint,
94,Turkish Van,Developed in the United Kingdom (foundation stock from Turkey),Natural,,Semi-long,Van pattern,
95,Ukrainian Levkoy,Ukraine,,,Hairless,,
96,Wila Krungthep,Thailand,Natural,,Short,Solid,
97,York Chocolate,United States (New York),Natural,,Long,Solid brown,
